nodes_no:
60
;
Node x-coordinate y-coordinate:
0 386.287514 334.241104 864 2839 2901
1 266.392270 254.877881 855 2679 2880
2 347.415903 19.082502 858 2857 2882
3 206.382626 172.796278 843 2767 2714
4 97.561157 210.359908 855 2808 2713
5 273.856873 212.461490 886 2894 3028
6 227.993306 383.499730 848 2783 2753
7 203.511850 423.656331 862 2735 2666
8 331.946615 26.759170 835 2693 2810
9 137.326016 38.357426 861 2807 2873
10 459.156011 35.068704 901 2728 2821
11 53.707700 165.314151 815 2670 2751
12 493.969395 143.626610 884 2790 2830
13 81.324676 323.834951 850 2808 2826
14 346.180611 257.532748 852 2736 2665
15 26.368430 174.205185 788 2517 2726
16 390.726165 434.652866 830 2743 2702
17 479.635826 239.332666 823 2562 2510
18 130.042249 120.085622 842 2778 2736
19 179.307336 118.397348 860 2832 2712
20 485.861487 374.007786 878 2798 2823
21 200.667420 117.332357 840 2713 2784
22 440.063854 153.201216 833 2856 2794
23 359.047705 14.785915 835 2766 2783
24 390.354226 183.473468 859 2692 2911
25 380.483804 291.297441 851 2707 2805
26 139.482094 275.550615 853 2818 2737
27 206.518643 458.835694 850 2760 2705
28 312.794146 131.216421 884 2742 2855
29 497.906501 314.569096 908 2874 2978
30 351.483616 385.129820 851 2866 2833
31 480.751682 493.524361 819 2605 2656
32 233.633731 182.111360 862 2639 2742
33 33.964327 338.437519 872 2798 2767
34 182.100099 56.358261 836 2616 2759
35 426.739594 212.363070 837 2793 2816
36 441.470549 295.524012 845 2679 2589
37 226.563354 350.292834 818 2703 2792
38 271.777240 260.068557 885 2788 2666
39 83.760874 269.015787 852 2835 2800
40 178.784928 338.279339 867 2919 2845
41 372.388119 227.109071 849 2831 2756
42 277.580055 287.981678 873 2723 2620
43 241.523814 290.738563 815 2718 2789
44 419.953521 158.832553 864 2716 2777
45 74.226462 24.152159 860 2665 2838
46 321.065930 155.087202 841 2797 2805
47 196.061347 203.063010 869 2836 2778
48 279.979586 116.902459 869 2744 2807
49 153.596741 0.425752 852 2726 2878
50 136.478989 302.371750 840 2708 2898
51 461.674759 367.673064 846 2654 2776
52 98.243882 184.920761 819 2756 2838
53 358.080742 263.036659 852 2660 2790
54 234.790364 121.646471 838 2654 2777
55 355.724920 168.722376 844 2649 2691
56 225.708849 488.623494 890 2878 2872
57 334.877948 293.679307 840 2749 2554
58 435.226384 349.836804 838 2688 2734
59 129.090300 120.666337 856 2761 2670
;
edges_no:
103
;
Adjacency_List:
0 25
0 30
0 36
0 58
1 5
1 38
1 43
1 47
2 8
2 23
3 21
3 32
3 47
3 54
4 26
4 39
4 47
4 52
5 14
5 32
5 46
6 7
6 30
6 37
7 27
8 28
8 34
8 48
9 18
9 34
9 45
9 49
10 12
10 22
10 23
11 15
11 52
12 17
12 22
13 33
13 39
13 50
14 38
14 41
14 53
14 57
16 30
16 31
16 51
16 56
16 58
17 29
17 35
17 36
18 19
18 59
19 21
19 34
20 29
20 31
20 51
21 34
21 54
22 44
23 44
24 35
24 41
24 44
24 55
25 36
25 53
25 57
26 39
26 43
26 47
26 50
27 56
28 46
28 48
29 36
29 51
32 47
32 54
34 49
35 36
35 41
35 44
36 58
37 40
37 43
38 42
38 43
40 43
40 50
41 53
42 43
42 57
46 55
47 52
48 54
51 58
52 59
53 57
;
no_district:
4
;
subset_edges:
;

